Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,5848 (1209),125.71024281805745 (-123.95900291441568),4324 (391),210.07203977798335 (-208.18540138986035),11399 (2686),145.97499780682517 (-143.99874647562177)
Original,5858 (1199),127.19059405940594 (-125.43935415576416),4324 (391),212.00612858464385 (-210.11949019652084),11493 (2592),146.64674149482295 (-144.67049016361955)
Original,5911 (1146),127.78049399424802 (-126.02925409060624),4340 (375),213.11785714285713 (-211.23121875473413),11576 (2509),147.5380960608155 (-145.5618447296121)
Original,6101 (956),125.20488444517292 (-123.45364454153115),4394 (321),212.4436731907146 (-210.5570348025916),11903 (2182),145.06027892128034 (-143.08402759007694)
Original,6458 (599),119.98846392071849 (-118.23722401707671),4543 (172),207.44254897644728 (-205.55591058832428),12476 (1609),140.46709682590574 (-138.49084549470234)
Original,6510 (547),120.68778801843318 (-118.9365481147914),4552 (163),208.94716608084357 (-207.06052769272057),12627 (1458),140.78918191177635 (-138.81293058057295)
Original,6575 (482),121.14790874524715 (-119.39666884160538),4568 (147),210.12697022767074 (-208.24033183954774),12679 (1406),142.19571732786497 (-140.21946599666157)
Original,6584 (473),122.71248481166464 (-120.96124490802286),4575 (140),211.68655737704918 (-209.79991898892618),12785 (1300),142.93445443879546 (-140.95820310759206)
Original,6768 (289),121.04609929078015 (-119.29485938713837),4626 (89),211.27399481193257 (-209.38735642380956),13082 (1003),141.37261122152577 (-139.39635989032237)
Original,6810 (247),122.03428781204111 (-120.28304790839934),4650 (65),212.08397849462366 (-210.19734010650066),13183 (902),142.28400212394752 (-140.30775079274412)
Original,6849 (208),123.04686815593517 (-121.2956282522934),4680 (35),212.59444444444443 (-210.70780605632143),13399 (686),141.8558101350847 (-139.8795588038813)
