Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,3002 (3058),77.60126582278481 (-75.95530872707523),1464 (356),168.44262295081967 (-166.57174382994054),2773 (2423),93.664983772088 (-92.18990678979392)
Original,3008 (3052),78.96841755319149 (-77.32246045748191),1465 (355),170.09692832764506 (-168.22604920676594),2781 (2415),94.78676734987414 (-93.31169036758007)
Original,3033 (3027),79.81388064622486 (-78.16792355051528),1512 (308),166.6412037037037 (-164.77032458282457),2805 (2391),95.47807486631017 (-94.0029978840161)
Original,3057 (3003),80.73765129211645 (-79.09169419640688),1514 (306),168.1958388375165 (-166.32495971663738),2817 (2379),96.56673766418176 (-95.09166068188769)
Original,3135 (2925),80.2140350877193 (-78.56807799200972),1531 (289),168.11561071195297 (-166.24473159107384),2849 (2347),96.93015093015093 (-95.45507394785686)
Original,3198 (2862),80.12273295809881 (-78.47677586238923),1536 (284),169.01692708333334 (-167.14604796245422),2854 (2342),98.25753328661527 (-96.7824563043212)
Original,3204 (2856),81.50951935081149 (-79.86356225510191),1536 (284),170.79231770833334 (-168.92143858745422),2863 (2333),99.44236814530213 (-97.96729116300806)
Original,3215 (2845),82.73872472783826 (-81.09276763212868),1536 (284),172.56770833333334 (-170.69682921245422),2912 (2284),99.27524038461539 (-97.80016340232132)
Original,3220 (2840),84.12282608695652 (-82.47686899124695),1536 (284),174.34309895833334 (-172.47221983745422),2912 (2284),100.76133241758242 (-99.28625543528835)
Original,3242 (2818),85.06893892658853 (-83.42298183087895),1542 (278),175.4520103761349 (-173.58113125525577),2921 (2275),101.8546730571722 (-100.37959607487814)
Original,3256 (2804),86.24324324324324 (-84.59728614753367),1542 (278),177.2298962386511 (-175.35901711777197),2925 (2271),103.20324786324787 (-101.7281708809538)
Original,3270 (2790),87.3651376146789 (-85.71918051896932),1543 (277),178.899546338302 (-177.02866721742288),2952 (2244),103.77320460704607 (-102.298127624752)
Original,3288 (2772),88.42685523114355 (-86.78089813543397),1543 (277),180.6801685029164 (-178.80928938203726),2956 (2240),105.12889039242219 (-103.65381341012812)
Original,3307 (2753),89.4553976413668 (-87.80944054565722),1543 (277),182.46079066753077 (-180.58991154665165),2959 (2237),106.52044609665427 (-105.0453691143602)
Original,3319 (2741),90.65064778547756 (-89.00469068976798),1543 (277),184.24141283214516 (-182.37053371126603),2959 (2237),108.01554579249746 (-106.5404688102034)
Original,3347 (2713),91.38706304152973 (-89.74110594582015),1543 (277),186.02203499675957 (-184.15115587588045),2959 (2237),109.51064548834066 (-108.03556850604659)
Original,3358 (2702),92.59395473496129 (-90.94799763925171),1543 (277),187.80265716137396 (-185.93177804049483),2961 (2235),110.93481931779804 (-109.45974233550398)
Original,3361 (2699),94.0395715560845 (-92.39361446037492),1545 (275),189.34045307443367 (-187.46957395355454),2968 (2228),112.00269541778975 (-110.52761843549568)
Original,3377 (2683),95.11415457506662 (-93.46819747935704),1545 (275),191.1200647249191 (-189.24918560403998),2968 (2228),113.49865229110512 (-112.02357530881105)
Original,3400 (2660),96.0114705882353 (-94.36551349252572),1545 (275),192.89967637540454 (-191.02879725452541),2968 (2228),114.99460916442048 (-113.51953218212641)
Original,3428 (2632),96.78733955659277 (-95.1413824608832),1547 (273),194.42824822236588 (-192.55736910148676),2968 (2228),116.49056603773585 (-115.01548905544178)
Original,3431 (2629),98.24919848440688 (-96.6032413886973),1549 (271),195.9557779212395 (-194.08489880036038),2968 (2228),117.98652291105121 (-116.51144592875714)
Original,3434 (2626),99.70704717530576 (-98.06109007959618),1550 (270),197.6141935483871 (-195.74331442750798),2976 (2220),119.16700268817205 (-117.69192570587798)
Original,3445 (2615),100.944557329463 (-99.29860023375342),1550 (270),199.39451612903227 (-197.52363700815314),2976 (2220),120.6617943548387 (-119.18671737254463)
Original,3450 (2610),102.34536231884059 (-100.69940522313101),1550 (270),201.17483870967743 (-199.3039595887983),2983 (2213),121.87361716392893 (-120.39854018163486)
Original,3455 (2605),103.74544138929089 (-102.09948429358131),1552 (268),202.69362113402062 (-200.8227420131415),2991 (2205),123.04212637913741 (-121.56704939684334)
Original,3461 (2599),105.11644033516325 (-103.47048323945367),1552 (268),204.47164948453607 (-202.60077036365695),2999 (2197),124.20173391130376 (-122.72665692900969)
Original,3481 (2579),106.0711002585464 (-104.42514316283682),1552 (268),206.24967783505156 (-204.37879871417243),2999 (2197),125.69273091030344 (-124.21765392800937)
Original,3502 (2558),106.89534551684751 (-105.24938842113794),1552 (268),207.95811855670104 (-206.0872394358219),3009 (2187),126.69358590893985 (-125.21850892664578)
Original,3517 (2543),107.95621268126244 (-106.31025558555287),1552 (268),209.7361469072165 (-207.86526778633737),3011 (2185),127.88608435735637 (-126.4110073750623)
Original,3535 (2525),108.96322489391797 (-107.31726779820839),1552 (268),211.51417525773195 (-209.64329613685283),3013 (2183),129.29887155658813 (-127.82379457429406)
Original,3541 (2519),110.33069754306693 (-108.68474044735736),1552 (268),213.29220360824743 (-211.4213244873683),3017 (2179),130.60739144845874 (-129.13231446616467)
Original,3545 (2515),111.75486600846263 (-110.10890891275305),1552 (268),215.0702319587629 (-213.19935283788377),3019 (2177),132.020039748261 (-130.54496276596694)
Original,3554 (2506),113.02588632526731 (-111.37992922955773),1555 (265),216.22861736334406 (-214.35773824246493),3030 (2166),133.04554455445543 (-131.57046757216136)
Original,3558 (2502),114.45011242270938 (-112.8041553269998),1555 (265),218.0038585209003 (-216.13297940002118),3039 (2157),134.15284633102993 (-132.67776934873586)
Original,3598 (2462),114.56017231795443 (-112.91421522224485),1563 (257),218.67338451695457 (-216.80250539607545),3068 (2128),134.39569752281616 (-132.9206205405221)
Original,3629 (2431),114.77046018186829 (-113.12450308615871),1567 (253),219.68793873643907 (-217.81705961555994),3104 (2092),134.33440721649484 (-132.85933023420077)
Original,3667 (2393),115.10103626943005 (-113.45507917372048),1567 (253),221.47223994894702 (-219.6013608280679),3104 (2092),135.83199097938143 (-134.35691399708736)
Original,3679 (2381),116.26637673280783 (-114.62041963709825),1568 (252),223.1141581632653 (-221.24327904238618),3124 (2072),136.35627400768246 (-134.8811970253884)
Original,3704 (2356),117.0430615550756 (-115.39710445936602),1568 (252),224.89732142857142 (-223.0264423076923),3128 (2068),137.67934782608697 (-136.2042708437929)
Original,3709 (2351),118.43758425451604 (-116.79162715880646),1568 (252),226.68048469387756 (-224.80960557299844),3131 (2065),139.04423506866814 (-137.56915808637407)
Original,3716 (2344),119.77395048439182 (-118.12799338868224),1572 (248),227.8937659033079 (-226.02288678242877),3143 (2053),140.01813553929367 (-138.5430585569996)
Original,3725 (2335),121.01744966442953 (-119.37149256871996),1572 (248),229.67811704834605 (-227.80723792746693),3150 (2046),141.205873015873 (-139.73079603357894)
Original,3734 (2326),122.24129619710766 (-120.59533910139808),1572 (248),231.4624681933842 (-229.5915890725051),3152 (2044),142.61437182741116 (-141.1392948451171)
Original,3744 (2316),123.47182158119658 (-121.825864485487),1572 (248),233.2468193384224 (-231.37594021754327),3157 (2039),143.8861260690529 (-142.41104908675882)
Original,3754 (2306),124.70085242408098 (-123.0548953283714),1572 (248),235.03117048346056 (-233.16029136258143),3165 (2031),145.0175355450237 (-143.54245856272962)
Original,3764 (2296),125.92919766206164 (-124.28324056635206),1574 (246),236.5158831003812 (-234.64500397950206),3212 (1984),144.3950809464508 (-142.92000396415673)
Original,3808 (2252),125.98188025210084 (-124.33592315639126),1574 (246),238.29860228716646 (-236.42772316628734),3212 (1984),145.88075965130759 (-144.40568266901352)
Original,3825 (2235),126.72928104575163 (-125.08332395004206),1574 (246),240.0813214739517 (-238.21044235307258),3226 (1970),146.700557966522 (-145.22548098422794)
Original,3834 (2226),127.93805425143454 (-126.29209715572496),1574 (246),241.86404066073698 (-239.99316153985785),3238 (1958),147.62600370599137 (-146.1509267236973)
Original,3840 (2220),129.039453125 (-127.39349602929042),1574 (246),243.64675984752225 (-241.77588072664312),3244 (1952),148.84294081381012 (-147.36786383151605)
Original,3875 (2185),129.38245161290322 (-127.73649451719365),1586 (234),243.5983606557377 (-241.72748153485858),3308 (1888),147.49002418379686 (-146.0149472015028)
Original,3875 (2185),130.93832258064515 (-129.29236548493557),1586 (234),245.38051702395964 (-243.50963790308052),3316 (1880),148.6269601930036 (-147.15188321070954)
Original,3879 (2181),132.36298014952308 (-130.7170230538135),1586 (234),247.1626733921816 (-245.29179427130248),3316 (1880),150.11731001206272 (-148.64223302976865)
Original,3879 (2181),133.9199535962877 (-132.27399650057814),1586 (234),248.94482976040354 (-247.0739506395244),3316 (1880),151.60765983112182 (-150.13258284882775)
Original,3890 (2170),135.05424164524422 (-133.40828454953464),1592 (228),249.80464824120602 (-247.9337691203269),3329 (1867),152.46830880144188 (-150.9932318191478)
Original,3892 (2168),136.54329393627955 (-134.89733684056998),1592 (228),251.5913944723618 (-249.72051535148267),3362 (1834),152.48066627007734 (-151.00558928778327)
Original,3904 (2156),137.66803278688525 (-136.02207569117567),1595 (225),252.90407523510973 (-251.0331961142306),3410 (1786),151.81979472140762 (-150.34471773911355)
Original,3921 (2139),138.65149196633513 (-137.00553487062555),1596 (224),254.52913533834587 (-252.65825621746674),3456 (1740),151.19719328703704 (-149.72211630474297)
Original,3925 (2135),140.0843312101911 (-138.43837411448152),1596 (224),256.312656641604 (-254.44177752072488),3464 (1732),152.29489030023095 (-150.81981331793688)
Original,3942 (2118),140.78373921867072 (-139.13778212296114),1596 (224),258.0961779448622 (-256.22529882398305),3478 (1718),153.18803910293272 (-151.71296212063865)
Original,3966 (2094),141.3545133635905 (-139.70855626788094),1596 (224),259.8796992481203 (-258.00882012724117),3487 (1709),154.2983940349871 (-152.82331705269303)
Original,4010 (2050),141.2564837905237 (-139.61052669481413),1599 (221),261.18542839274545 (-259.3145492718663),3488 (1708),155.75573394495413 (-154.28065696266006)
Original,4021 (2039),142.43011688634667 (-140.7841597906371),1599 (221),262.97217010631647 (-261.10129098543734),3488 (1708),157.25702408256882 (-155.78194710027475)
Original,4112 (1948),140.9044260700389 (-139.25846897432933),1618 (202),261.6949938195303 (-259.82411469865116),3497 (1699),158.35859307978268 (-156.8835160974886)
Original,4120 (1940),142.22172330097087 (-140.5757662052613),1618 (202),263.4833127317676 (-261.6124336108885),3497 (1699),159.86045181584214 (-158.38537483354807)
