Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1535 (299),114.84169381107492 (-113.08433285142388),460 (9),124.5858695652174 (-122.73299110039864),1584 (781),69.80018939393939 (-68.31202871740662)
Original,1569 (265),114.16061185468452 (-112.40325089503348),460 (9),126.4 (-124.54712153518125),1584 (781),71.30239898989899 (-69.81423831336622)
Original,1577 (257),115.3424223208624 (-113.58506136121136),460 (9),128.21413043478262 (-126.36125196996386),1584 (781),72.80460858585859 (-71.31644790932582)
Original,1577 (257),117.09321496512365 (-115.33585400547261),460 (9),130.02826086956523 (-128.17538240474647),1584 (781),74.30681818181819 (-72.81865750528542)
Original,1583 (251),118.43524952621604 (-116.677888566565),460 (9),131.8423913043478 (-129.98951283952906),1585 (780),75.77255520504733 (-74.28439452851455)
Original,1589 (245),119.75015733165513 (-117.9927963720041),460 (9),133.65652173913043 (-131.80364327431167),1762 (603),69.85868331441544 (-68.37052263788267)
Original,1598 (236),120.8279098873592 (-119.07054892770816),460 (9),135.47065217391304 (-133.61777370909428),1986 (379),63.37713997985901 (-61.88897930332624)
Original,1598 (236),122.57571964956195 (-120.81835868991091),460 (9),137.28478260869565 (-135.4319041438769),2155 (210),60.0169373549884 (-58.52877667845563)
Original,1603 (231),123.94572676232065 (-122.18836580266961),460 (9),139.09891304347826 (-137.2460345786595),2266 (99),58.60767872903795 (-57.11951805250518)
Original,1618 (216),124.56242274412855 (-122.80506178447752),460 (9),140.91304347826087 (-139.06016501344212),2310 (55),58.99978354978355 (-57.51162287325078)
Original,1620 (214),126.1574074074074 (-124.40004644775637),460 (9),142.7271739130435 (-140.87429544822473),2313 (52),60.40012970168612 (-58.91196902515335)
Original,1622 (212),127.74969173859432 (-125.99233077894328),460 (9),144.5413043478261 (-142.68842588300734),2317 (48),61.78053517479499 (-60.29237449826222)
Original,1632 (202),128.7561274509804 (-126.99876649132935),460 (9),146.35543478260868 (-144.50255631778992),2318 (47),63.23274374460742 (-61.74458306807465)
Original,1639 (195),129.95332519829165 (-128.1959642386406),460 (9),148.1695652173913 (-146.31668675257254),2318 (47),64.71160483175152 (-63.22344415521874)
Original,1676 (158),128.86754176610978 (-127.11018080645874),461 (8),149.68872017353578 (-147.83584170871703),2355 (10),65.21464968152866 (-63.726489004995884)
Original,1683 (151),130.0754604872252 (-128.31809952757416),461 (8),151.51409978308027 (-149.6612213182615),2358 (7),66.62425784563189 (-65.13609716909912)
Original,1661 (173),132.80854906682723 (-131.0511881071762),461 (8),152.81887201735358 (-150.96599355253483),2284 (81),69.25197022767075 (-67.76380955113798)
