Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,4744,1834,469,2365,76
Original,3571 (1173; 24.7%),1468 (366; 20.0%),460 (9; 1.9%),1576 (789; 33.4%),67 (9; 11.8%)
Original,3582 (1162; 24.5%),1479 (355; 19.4%),460 (9; 1.9%),1576 (789; 33.4%),67 (9; 11.8%)
Original,3604 (1140; 24.0%),1493 (341; 18.6%),460 (9; 1.9%),1584 (781; 33.0%),67 (9; 11.8%)
Original,3640 (1104; 23.3%),1529 (305; 16.6%),460 (9; 1.9%),1584 (781; 33.0%),67 (9; 11.8%)
Original,3646 (1098; 23.1%),1535 (299; 16.3%),460 (9; 1.9%),1584 (781; 33.0%),67 (9; 11.8%)
Original,3680 (1064; 22.4%),1569 (265; 14.4%),460 (9; 1.9%),1584 (781; 33.0%),67 (9; 11.8%)
Original,3688 (1056; 22.3%),1577 (257; 14.0%),460 (9; 1.9%),1584 (781; 33.0%),67 (9; 11.8%)
Original,3688 (1056; 22.3%),1577 (257; 14.0%),460 (9; 1.9%),1584 (781; 33.0%),67 (9; 11.8%)
Original,3695 (1049; 22.1%),1583 (251; 13.7%),460 (9; 1.9%),1585 (780; 33.0%),67 (9; 11.8%)
Original,3878 (866; 18.3%),1589 (245; 13.4%),460 (9; 1.9%),1762 (603; 25.5%),67 (9; 11.8%)
Original,4117 (627; 13.2%),1598 (236; 12.9%),460 (9; 1.9%),1986 (379; 16.0%),73 (3; 3.9%)
Original,4289 (455; 9.6%),1598 (236; 12.9%),460 (9; 1.9%),2155 (210; 8.9%),76 (0; 0.0%)
Original,4405 (339; 7.1%),1603 (231; 12.6%),460 (9; 1.9%),2266 (99; 4.2%),76 (0; 0.0%)
Original,4464 (280; 5.9%),1618 (216; 11.8%),460 (9; 1.9%),2310 (55; 2.3%),76 (0; 0.0%)
Original,4469 (275; 5.8%),1620 (214; 11.7%),460 (9; 1.9%),2313 (52; 2.2%),76 (0; 0.0%)
