Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,3124 (1644),95.1694942381562 (-93.4585043052703),1700 (119),129.5264705882353 (-128.09546454095658),1950 (533),136.2923076923077 (-134.75243656866695)
Original,3137 (1631),96.29598342365317 (-94.58499349076726),1705 (114),130.53636363636363 (-129.10535758908492),1952 (531),137.60886270491804 (-136.0689915812773)
Original,3137 (1631),97.91839336946127 (-96.20740343657536),1705 (114),131.92404692082113 (-130.4930408735424),1952 (531),139.06147540983608 (-137.52160428619533)
Original,3141 (1627),99.41913403374721 (-97.7081441008613),1705 (114),133.3117302052786 (-131.88072415799988),1952 (531),140.5140881147541 (-138.97421699111334)
Original,3149 (1619),100.79549063194665 (-99.08450069906074),1705 (114),134.69941348973606 (-133.26840744245735),1952 (531),141.96670081967213 (-140.42682969603138)
Original,3158 (1610),102.1413869537682 (-100.4303970208823),1706 (113),136.00732708089097 (-134.57632103361226),1952 (531),143.41931352459017 (-141.87944240094942)
Original,3169 (1599),103.41811296939098 (-101.70712303650507),1706 (113),137.39419695193436 (-135.96319090465565),1952 (531),144.8719262295082 (-143.33205510586745)
Original,3180 (1588),104.7004716981132 (-102.9894817652273),1707 (112),138.70796719390745 (-137.27696114662874),1952 (531),146.32453893442624 (-144.7846678107855)
Original,3191 (1577),105.9757129426512 (-104.26472300976529),1708 (111),140.0242974238876 (-138.59329137660887),1952 (531),147.77715163934425 (-146.2372805157035)
Original,3212 (1556),106.92932752179327 (-105.21833758890736),1709 (110),141.3349912229374 (-139.90398517565868),1960 (523),147.9594387755102 (-146.41956765186944)
Original,3221 (1547),108.22865569698851 (-106.5176657641026),1713 (106),142.40367775831874 (-140.97267171104002),1967 (516),148.89476359938993 (-147.35489247574918)
Original,3255 (1513),108.6984639016897 (-106.9874739688038),1715 (104),143.63935860058308 (-142.20835255330437),1967 (516),150.35104219623793 (-148.81117107259718)
Original,3302 (1466),108.78679588128406 (-107.07580594839816),1716 (103),144.95192307692307 (-143.52091702964435),1983 (500),149.43822491174987 (-147.89835378810912)
Original,3313 (1455),110.08345910051312 (-108.37246916762722),1716 (103),146.34819347319348 (-144.91718742591476),2016 (467),147.7470238095238 (-146.20715268588305)
Original,3351 (1417),110.50850492390332 (-108.79751499101741),1717 (102),147.66191030867793 (-146.23090426139922),2016 (467),149.21354166666666 (-147.6736705430259)
Original,3397 (1371),110.68913747424197 (-108.97814754135607),1717 (102),149.0591147350029 (-147.6281086877242),2019 (464),150.46359583952452 (-148.92372471588376)
Original,3413 (1355),111.83855845297393 (-110.12756852008802),1718 (101),150.3733993015134 (-148.94239325423467),2030 (453),151.14285714285714 (-149.6029860192164)
Original,3427 (1341),113.04756346658885 (-111.33657353370295),1718 (101),151.7721187427241 (-150.3411126954454),2032 (451),152.47588582677164 (-150.9360147031309)
