Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,9179,4768,1819,2483,109
Original,6877 (2302; 25.1%),3124 (1644; 34.5%),1700 (119; 6.5%),1950 (533; 21.5%),103 (6; 5.5%)
Original,6897 (2282; 24.9%),3137 (1631; 34.2%),1705 (114; 6.3%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6897 (2282; 24.9%),3137 (1631; 34.2%),1705 (114; 6.3%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6901 (2278; 24.8%),3141 (1627; 34.1%),1705 (114; 6.3%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6909 (2270; 24.7%),3149 (1619; 34.0%),1705 (114; 6.3%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6919 (2260; 24.6%),3158 (1610; 33.8%),1706 (113; 6.2%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6930 (2249; 24.5%),3169 (1599; 33.5%),1706 (113; 6.2%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6942 (2237; 24.4%),3180 (1588; 33.3%),1707 (112; 6.2%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6954 (2225; 24.2%),3191 (1577; 33.1%),1708 (111; 6.1%),1952 (531; 21.4%),103 (6; 5.5%)
Original,6984 (2195; 23.9%),3212 (1556; 32.6%),1709 (110; 6.0%),1960 (523; 21.1%),103 (6; 5.5%)
Original,7004 (2175; 23.7%),3221 (1547; 32.4%),1713 (106; 5.8%),1967 (516; 20.8%),103 (6; 5.5%)
Original,7040 (2139; 23.3%),3255 (1513; 31.7%),1715 (104; 5.7%),1967 (516; 20.8%),103 (6; 5.5%)
Original,7104 (2075; 22.6%),3302 (1466; 30.7%),1716 (103; 5.7%),1983 (500; 20.1%),103 (6; 5.5%)
Original,7148 (2031; 22.1%),3313 (1455; 30.5%),1716 (103; 5.7%),2016 (467; 18.8%),103 (6; 5.5%)
Original,7187 (1992; 21.7%),3351 (1417; 29.7%),1717 (102; 5.6%),2016 (467; 18.8%),103 (6; 5.5%)
Original,7236 (1943; 21.2%),3397 (1371; 28.8%),1717 (102; 5.6%),2019 (464; 18.7%),103 (6; 5.5%)
