Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,3191 (2084),127.72720150423065 (-125.96833894498894),1964 (384),208.41446028513238 (-206.67936658836916),2429 (761),186.8664059283656 (-185.22847489388283)
Original,3202 (2073),128.84212991880074 (-127.08326735955903),1964 (384),210.07077393075357 (-208.33568023399036),2433 (757),188.15988491574188 (-186.52195388125912)
Original,3211 (2064),130.12877608221737 (-128.36991352297565),1964 (384),211.72708757637474 (-209.99199387961153),2433 (757),189.75852856555693 (-188.12059753107417)
Original,3232 (2043),130.99381188118812 (-129.2349493219464),1964 (384),213.38340122199594 (-211.64830752523272),2437 (753),191.04595814526056 (-189.4080271107778)
Original,3236 (2039),132.4426761433869 (-130.68381358414518),1964 (384),215.0397148676171 (-213.3046211708539),2437 (753),192.64341403364793 (-191.00548299916517)
Original,3238 (2037),134.05867819641753 (-132.2998156371758),1964 (384),216.69602851323828 (-214.96093481647506),2442 (748),193.85790335790335 (-192.2199723234206)
Original,3263 (2012),134.71192154459087 (-132.95305898534914),1964 (384),218.35234215885947 (-216.61724846209626),2442 (748),195.45945945945945 (-193.8215284249767)
Original,3272 (2003),136.04049511002444 (-134.28163255078272),1964 (384),220.00865580448064 (-218.27356210771742),2442 (748),196.0020475020475 (-194.36411646756474)
Original,3279 (1996),137.44769746874047 (-135.68883490949875),1964 (384),221.66496945010184 (-219.92987575333862),2442 (748),197.6036036036036 (-195.96567256912084)
Original,3402 (1873),134.18298059964727 (-132.42411804040555),2002 (346),219.19230769230768 (-217.45721399554446),2448 (742),198.64746732026143 (-197.00953628577867)
Original,3407 (1868),135.6781626063986 (-133.91930004715687),2003 (345),220.7673489765352 (-219.032255279772),2448 (742),200.25531045751634 (-198.61737942303358)
Original,3413 (1862),137.1358042777615 (-135.3769417185198),2004 (344),222.3433133732535 (-220.60821967649028),2448 (742),201.86315359477123 (-200.22522256028847)
Original,3422 (1853),138.47019286966687 (-136.71133031042515),2004 (344),224.02694610778443 (-222.2918524110212),2448 (742),203.47099673202615 (-201.8330656975434)
Original,3423 (1852),140.12094653812446 (-138.36208397888274),2004 (344),225.71057884231536 (-223.97548514555214),2448 (742),205.07883986928104 (-203.44090883479828)
Original,3430 (1845),141.5338192419825 (-139.7749566827408),2005 (343),227.28379052369078 (-225.54869682692757),2448 (742),206.68668300653596 (-205.0487519720532)
Original,3431 (1844),143.18755464879044 (-141.42869208954872),2005 (343),228.96807980049874 (-227.23298610373553),2448 (742),208.29452614379085 (-206.65659510930809)
Original,3444 (1831),144.35104529616726 (-142.59218273692554),2005 (343),230.65236907730673 (-228.91727538054351),2448 (742),209.90236928104576 (-208.264438246563)
Original,3445 (1830),146.00580551523947 (-144.24694295599775),2008 (340),231.99950199203187 (-230.26440829526865),2448 (742),211.51021241830065 (-209.8722813838179)
Original,3475 (1800),146.4640287769784 (-144.7051662177367),2008 (340),233.68625498007967 (-231.95116128331645),2449 (741),213.03103307472438 (-211.39310204024162)
Original,3496 (1779),147.2196796338673 (-145.46081707462557),2009 (339),235.2618218018915 (-233.52672810512829),2451 (739),214.46960424316606 (-212.8316732086833)
Original,3515 (1760),146.99345661450926 (-145.23459405526754),2009 (339),236.95072175211547 (-235.21562805535225),2467 (723),214.54925010133766 (-212.9113190668549)
Original,3517 (1758),148.56752914415696 (-146.80866658491524),2009 (339),238.63962170233947 (-236.90452800557625),2474 (716),215.56548100242523 (-213.92754996794247)
Original,3524 (1751),149.980561861521 (-148.2216993022793),2009 (339),240.32852165256347 (-238.59342795580025),2474 (716),217.18270008084073 (-215.54476904635797)
